id,comment,description,element_set_id,name,order,url
1,,Any textual data included in the document,3,Text,,https://erdinggeschichte.omeka.net/api/elements/1
2,,The person(s) performing the interview,3,Interviewer,,https://erdinggeschichte.omeka.net/api/elements/2
3,,The person(s) being interviewed,3,Interviewee,,https://erdinggeschichte.omeka.net/api/elements/3
4,,The location of the interview,3,Location,,https://erdinggeschichte.omeka.net/api/elements/4
5,,Any written text transcribed from a sound,3,Transcription,,https://erdinggeschichte.omeka.net/api/elements/5
6,,The URL of the local directory containing all assets of the website,3,Local URL,,https://erdinggeschichte.omeka.net/api/elements/6
7,,"The type of object, such as painting, sculpture, paper, photo, and additional data",3,Original Format,,https://erdinggeschichte.omeka.net/api/elements/7
10,,The actual physical size of the original image,3,Physical Dimensions,,https://erdinggeschichte.omeka.net/api/elements/10
11,,"Length of time involved (seconds, minutes, hours, days, class periods, etc.)",3,Duration,,https://erdinggeschichte.omeka.net/api/elements/11
12,,Type/rate of compression for moving image file (i.e. MPEG-4),3,Compression,,https://erdinggeschichte.omeka.net/api/elements/12
13,,Name (or names) of the person who produced the video,3,Producer,,https://erdinggeschichte.omeka.net/api/elements/13
14,,Name (or names) of the person who produced the video,3,Director,,https://erdinggeschichte.omeka.net/api/elements/14
15,,Rate at which bits are transferred (i.e. 96 kbit/s would be FM quality audio),3,Bit Rate/Frequency,,https://erdinggeschichte.omeka.net/api/elements/15
16,,A summary of an interview given for different time stamps throughout the interview,3,Time Summary,,https://erdinggeschichte.omeka.net/api/elements/16
17,,"The main body of the email, including all replied and forwarded text and headers",3,Email Body,,https://erdinggeschichte.omeka.net/api/elements/17
18,,The content of the subject line of the email,3,Subject Line,,https://erdinggeschichte.omeka.net/api/elements/18
19,,The name and email address of the person sending the email,3,From,,https://erdinggeschichte.omeka.net/api/elements/19
20,,The name(s) and email address(es) of the person to whom the email was sent,3,To,,https://erdinggeschichte.omeka.net/api/elements/20
21,,The name(s) and email address(es) of the person to whom the email was carbon copied,3,CC,,https://erdinggeschichte.omeka.net/api/elements/21
22,,The name(s) and email address(es) of the person to whom the email was blind carbon copied,3,BCC,,https://erdinggeschichte.omeka.net/api/elements/22
23,,The number of attachments to the email,3,Number of Attachments,,https://erdinggeschichte.omeka.net/api/elements/23
24,,,3,Standards,,https://erdinggeschichte.omeka.net/api/elements/24
25,,,3,Objectives,,https://erdinggeschichte.omeka.net/api/elements/25
26,,,3,Materials,,https://erdinggeschichte.omeka.net/api/elements/26
27,,,3,Lesson Plan Text,,https://erdinggeschichte.omeka.net/api/elements/27
28,,,3,URL,,https://erdinggeschichte.omeka.net/api/elements/28
29,,,3,Event Type,,https://erdinggeschichte.omeka.net/api/elements/29
30,,Names of individuals or groups participating in the event,3,Participants,,https://erdinggeschichte.omeka.net/api/elements/30
31,,,3,Birth Date,,https://erdinggeschichte.omeka.net/api/elements/31
32,,,3,Birthplace,,https://erdinggeschichte.omeka.net/api/elements/32
33,,,3,Death Date,,https://erdinggeschichte.omeka.net/api/elements/33
34,,,3,Occupation,,https://erdinggeschichte.omeka.net/api/elements/34
35,,,3,Biographical Text,,https://erdinggeschichte.omeka.net/api/elements/35
36,,,3,Bibliography,,https://erdinggeschichte.omeka.net/api/elements/36
37,,An entity responsible for making contributions to the resource,1,Contributor,8,https://erdinggeschichte.omeka.net/api/elements/37
38,,"The spatial or temporal topic of the resource, the spatial applicability of the resource, or the jurisdiction under which the resource is relevant",1,Coverage,15,https://erdinggeschichte.omeka.net/api/elements/38
39,,An entity primarily responsible for making the resource,1,Creator,4,https://erdinggeschichte.omeka.net/api/elements/39
40,,A point or period of time associated with an event in the lifecycle of the resource,1,Date,7,https://erdinggeschichte.omeka.net/api/elements/40
41,,An account of the resource,1,Description,3,https://erdinggeschichte.omeka.net/api/elements/41
42,,"The file format, physical medium, or dimensions of the resource",1,Format,11,https://erdinggeschichte.omeka.net/api/elements/42
43,,An unambiguous reference to the resource within a given context,1,Identifier,14,https://erdinggeschichte.omeka.net/api/elements/43
44,,A language of the resource,1,Language,12,https://erdinggeschichte.omeka.net/api/elements/44
45,,An entity responsible for making the resource available,1,Publisher,6,https://erdinggeschichte.omeka.net/api/elements/45
46,,A related resource,1,Relation,10,https://erdinggeschichte.omeka.net/api/elements/46
47,,Information about rights held in and over the resource,1,Rights,9,https://erdinggeschichte.omeka.net/api/elements/47
48,,A related resource from which the described resource is derived,1,Source,5,https://erdinggeschichte.omeka.net/api/elements/48
49,,The topic of the resource,1,Subject,2,https://erdinggeschichte.omeka.net/api/elements/49
50,,A name given to the resource,1,Title,1,https://erdinggeschichte.omeka.net/api/elements/50
51,,The nature or genre of the resource,1,Type,13,https://erdinggeschichte.omeka.net/api/elements/51
52,,Which Date is the Item from? (format DD/MM/YYYY),3,Date,,https://erdinggeschichte.omeka.net/api/elements/52
53,,Where is the Document stored currently?,3,Archival location,,https://erdinggeschichte.omeka.net/api/elements/53
